Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,doctor,hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Meadowview General Hospital
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Golden Bridge Medical Institute
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, Dr.Kamala kini,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,Dr.Angela WU,Golden Bridge Medical Institute
